;;Model M1;;;Model M3;;;;DP;;DSS-1TH;;;FMT;;;DSS-4TH;;DSS+DP;
prob1_050_090_110_005_015_04;16609975;0.00;101;0;0.00;101;289;0;98.83;0;0.31;0;;0.00;0;0;0.34;0;0.66;0
prob1_050_090_110_005_015_05;11565046;0.00;101;0;0.00;101;358;0;80.15;0;0.48;0;;0.00;0;0;0.56;0;1.00;0
prob1_050_090_110_005_015_06;15718659;0.00;101;0;0.00;101;298;0;101.85;0;0.31;0;;0.00;0;0;0.35;0;0.65;0
;;Model M1;;;Model M3;;;;DP;;DSS-1TH;;;FMT;;;DSS-4TH;;DSS+DP;
Instance;opt;time;#nodes;TL;time;#nodes;#cols;TL;time;TL;time;TL;;time;best;TL;time;TL;time;TL
prob1_050_090_110_005_015_07;18499760;0.00;101;0;0.00;101;331;0;110.32;0;0.35;0;;0.00;0;0;0.38;0;0.72;0
prob1_050_090_110_005_015_08;17465693;0.00;101;0;0.00;101;325;0;99.95;0;0.33;0;;0.00;0;0;0.38;0;0.71;0
prob1_050_090_110_005_015_09;13150951;0.00;101;0;0.00;101;250;0;91.08;0;0.51;0;;0.00;0;0;0.62;0;1.07;0
prob1_050_090_110_005_015_10;16516160;0.00;101;0;0.00;101;321;0;105.04;0;0.34;0;;0.00;0;0;0.40;0;0.70;0
prob1_050_090_110_015_025_01;13440353;0.00;107;0;0.00;101;361;0;110.04;0;0.69;0;;0.00;0;0;0.70;0;1.29;0
prob1_050_090_110_015_025_02;9608532;0.00;131;0;0.00;101;314;0;84.97;0;0.41;0;;0.00;0;0;0.49;0;0.86;0
prob1_050_090_110_015_025_03;12902825;0.00;111;0;0.00;101;373;0;114.68;0;0.68;0;;0.00;0;0;0.71;0;1.41;0
prob1_050_090_110_015_025_04;10854934;0.00;101;0;0.00;101;350;0;92.27;0;0.54;0;;0.00;0;0;0.58;0;1.15;0
prob1_050_090_110_015_025_05;11775499;0.00;117;0;0.00;101;345;0;90.22;0;0.53;0;;0.00;0;0;0.56;0;1.11;0
prob1_050_090_110_015_025_06;13055044;0.00;101;0;0.00;101;376;0;111.24;0;0.67;0;;0.00;0;0;0.66;0;1.43;0
prob1_050_090_110_015_025_07;11831069;0.00;101;0;0.00;101;370;0;92.68;0;0.70;0;;0.00;0;0;0.75;0;1.43;0
prob1_050_090_110_015_025_08;10329151;0.00;101;0;0.00;101;321;0;83.43;0;0.45;0;;0.00;0;0;0.52;0;0.96;0
prob1_050_090_110_015_025_09;10753496;0.00;101;0;0.00;101;338;0;89.29;0;0.56;0;;0.00;0;0;0.64;0;1.17;0
prob1_050_090_110_015_025_10;12411979;0.00;135;0;0.00;101;359;0;111.02;0;0.71;0;;0.00;0;0;0.70;0;1.47;0
prob1_050_090_110_025_035_01;7898663;0.00;151;0;0.00;151;293;0;88.17;0;0.52;0;;0.00;0;0;0.64;0;1.08;0
prob1_050_090_110_025_035_02;7859707;0.00;209;0;0.01;211;390;0;88.71;0;0.69;0;;0.00;0;0;0.75;0;1.45;0
prob1_050_090_110_025_035_03;8145007;0.00;145;0;0.00;101;342;0;87.49;0;0.47;0;;0.00;0;0;0.54;0;0.99;0
prob1_050_090_110_025_035_04;10679582;0.00;101;0;0.00;101;334;0;110.82;0;0.64;0;;0.00;0;0;0.65;0;1.32;0
prob1_050_090_110_025_035_05;8542538;0.00;179;0;0.00;101;330;0;92.01;0;0.58;0;;0.00;0;0;0.61;0;1.08;0
prob1_050_090_110_025_035_06;9681248;0.00;149;0;0.01;157;385;0;104.31;0;0.80;0;;0.00;0;0;0.81;0;1.62;0
prob1_050_090_110_025_035_07;10929791;0.00;101;0;0.00;101;354;0;115.84;0;0.62;0;;0.00;0;0;0.58;0;1.30;0
prob1_050_090_110_025_035_08;8670609;0.00;221;0;0.01;143;372;0;104.02;0;0.50;0;;0.00;0;0;0.59;0;1.05;0
prob1_050_090_110_025_035_09;7591896;0.00;169;0;0.01;171;371;0;87.68;0;0.54;0;;0.00;0;0;0.59;0;1.12;0
prob1_050_090_110_025_035_10;9447002;0.00;169;0;0.01;101;346;0;93.10;0;0.62;0;;0.00;0;0;0.72;0;1.28;0
prob1_050_090_110_035_045_01;5862006;0.00;215;0;0.01;215;352;0;75.88;0;0.52;0;;0.00;0;0;0.65;0;1.09;0
prob1_050_090_110_035_045_02;7019208;0.00;143;0;0.01;101;338;0;110.85;0;0.55;0;;0.00;0;0;0.61;0;1.06;0
prob1_050_090_110_035_045_03;5823171;0.01;323;0;0.01;167;351;0;91.74;0;0.44;0;;0.01;0;0;0.50;0;0.90;0
prob1_050_090_110_035_045_04;5544429;0.00;101;0;0.00;101;327;0;84.40;0;0.37;0;;0.00;0;0;0.48;0;0.76;0
prob1_050_090_110_035_045_05;5659525;0.00;157;0;0.00;101;313;0;82.71;0;0.36;0;;0.00;0;0;0.47;0;0.78;0
prob1_050_090_110_035_045_06;7113345;0.00;151;0;0.01;153;376;0;102.04;0;0.46;0;;0.00;0;0;0.53;0;0.99;0
prob1_050_090_110_035_045_07;7051395;0.00;215;0;0.01;215;387;0;112.94;0;0.72;0;;0.00;0;0;0.81;0;1.40;0
prob1_050_090_110_035_045_08;7481748;0.00;101;0;0.00;101;305;0;111.44;0;0.46;0;;0.00;0;0;0.55;0;0.97;0
prob1_050_090_110_035_045_09;5227306;0.01;335;0;0.01;283;383;0;79.06;0;0.46;0;;0.01;0;0;0.55;0;0.97;0
prob1_050_090_110_035_045_10;6141230;0.00;107;0;0.00;107;316;0;90.43;0;0.46;0;;0.00;0;0;0.52;0;0.94;0
prob1_100_040_060_005_015_01;14918885;0.00;201;0;0.01;201;477;0;79.35;0;0.42;0;;0.00;0;0;0.48;0;0.83;0
prob1_100_040_060_005_015_02;16796574;0.00;201;0;0.01;201;459;0;109.81;0;0.49;0;;0.00;0;0;0.58;0;1.03;0
prob1_100_040_060_005_015_03;13022459;0.00;201;0;0.01;201;455;0;77.47;0;0.39;0;;0.00;0;0;0.50;0;0.84;0
prob1_100_040_060_005_015_04;14138637;0.00;201;0;0.01;201;444;0;88.69;0;0.36;0;;0.00;0;0;0.42;0;0.77;0
prob1_100_040_060_005_015_05;17989654;0.00;201;0;0.01;201;505;0;99.18;0;0.25;0;;0.00;0;0;0.30;0;0.54;0
prob1_100_040_060_005_015_06;17387042;0.00;201;0;0.01;201;440;0;104.46;0;0.32;0;;0.00;0;0;0.35;0;0.67;0
prob1_100_040_060_005_015_07;17179617;0.00;201;0;0.01;201;505;0;114.94;0;0.27;0;;0.00;0;0;0.32;0;0.57;0
prob1_100_040_060_005_015_08;15485417;0.00;201;0;0.01;201;438;0;100.78;0;0.47;0;;0.00;0;0;0.55;0;0.99;0
prob1_100_040_060_005_015_09;15088022;0.00;201;0;0.01;201;457;0;82.69;0;0.30;0;;0.00;0;0;0.36;0;0.65;0
prob1_100_040_060_005_015_10;17473888;0.00;201;0;0.01;201;423;0;113.44;0;0.49;0;;0.00;0;0;0.46;0;0.88;0
prob1_100_040_060_015_025_01;11746062;0.00;215;0;0.01;215;526;0;96.38;0;0.58;0;;0.00;0;0;0.61;0;1.07;0
prob1_100_040_060_015_025_02;10395083;0.00;201;0;0.01;201;530;0;91.37;0;0.36;0;;0.00;0;0;0.42;0;0.82;0
;;Model M1;;;Model M3;;;;DP;;DSS-1TH;;;FMT;;;DSS-4TH;;DSS+DP;
Instance;opt;time;#nodes;TL;time;#nodes;#cols;TL;time;TL;time;TL;;time;best;TL;time;TL;time;TL
prob1_100_040_060_015_025_03;11721692;0.00;201;0;0.01;201;375;0;86.44;0;0.41;0;;0.00;0;0;0.61;0;0.87;0
prob1_100_040_060_015_025_04;12638109;0.00;201;0;0.01;201;546;0;111.37;0;0.68;0;;0.00;0;0;1.20;0;1.13;0
prob1_100_040_060_015_025_05;12277036;0.00;275;0;0.01;201;513;0;113.61;0;0.49;0;;0.00;0;0;0.58;0;1.01;0
prob1_100_040_060_015_025_06;14212888;0.00;213;0;0.01;201;393;0;105.24;0;0.52;0;;0.00;0;0;0.59;0;1.09;0
prob1_100_040_060_015_025_07;12943973;0.00;201;0;0.01;201;543;0;104.66;0;0.41;0;;0.00;0;0;0.49;0;0.87;0
prob1_100_040_060_015_025_08;12359613;0.00;201;0;0.01;201;507;0;112.57;0;0.56;0;;0.00;0;0;0.57;0;1.07;0
prob1_100_040_060_015_025_09;9707636;0.00;269;0;0.01;269;507;0;78.10;0;0.33;0;;0.00;0;0;0.41;0;0.70;0
prob1_100_040_060_015_025_10;10434348;0.00;201;0;0.01;201;523;0;89.31;0;0.41;0;;0.00;0;0;0.50;0;0.87;0
prob1_100_040_060_025_035_01;10874231;0.00;203;0;0.01;203;538;0;112.86;0;0.57;0;;0.00;0;0;0.57;0;1.01;0
prob1_100_040_060_025_035_02;7761855;0.00;297;0;0.01;297;509;0;77.46;0;0.34;0;;0.00;0;0;0.43;0;0.73;0
prob1_100_040_060_025_035_03;11038983;0.00;253;0;0.01;201;519;0;113.49;0;0.41;0;;0.00;0;0;0.49;0;0.85;0
prob1_100_040_060_025_035_04;8704570;0.00;201;0;0.01;201;483;0;103.80;0;0.40;0;;0.00;0;0;0.47;0;0.78;0
prob1_100_040_060_025_035_05;7703518;0.01;465;0;0.01;291;509;0;91.83;0;0.65;0;;0.01;0;0;0.83;0;1.12;0
prob1_100_040_060_025_035_06;8602986;0.00;377;0;0.01;291;500;0;96.58;0;0.41;0;;0.00;0;0;0.67;0;0.86;0
prob1_100_040_060_025_035_07;8003828;0.00;291;0;0.01;291;511;0;90.45;0;0.41;0;;0.00;0;0;0.49;0;0.81;0
prob1_100_040_060_025_035_08;9170654;0.00;285;0;0.01;285;488;0;91.79;0;0.55;0;;0.00;0;0;0.63;0;1.12;0
prob1_100_040_060_025_035_09;7038100;0.01;499;0;0.01;201;467;0;83.03;0;0.32;0;;0.01;0;0;0.38;0;0.68;0
prob1_100_040_060_025_035_10;9364346;0.00;269;0;0.01;201;519;0;102.73;0;0.40;0;;0.00;0;0;0.46;0;0.82;0
prob1_100_040_060_035_045_01;5909773;0.01;691;0;0.01;337;465;0;82.44;0;0.36;0;;0.01;0;0;0.45;0;0.76;0
prob1_100_040_060_035_045_02;7645609;0.00;201;0;0.01;201;488;0;114.02;0;0.40;0;;0.00;0;0;0.47;0;0.85;0
prob1_100_040_060_035_045_03;5653035;0.00;229;0;0.01;233;455;0;79.51;0;0.44;0;;0.00;0;0;0.49;0;0.84;0
prob1_100_040_060_035_045_04;6063077;0.00;203;0;0.01;203;445;0;95.96;0;0.38;0;;0.00;0;0;0.44;0;0.76;0
prob1_100_040_060_035_045_05;7987908;0.00;209;0;0.01;213;485;0;113.07;0;0.53;0;;0.00;0;0;0.67;0;1.12;0
prob1_100_040_060_035_045_06;6146637;0.00;313;0;0.01;201;451;0;84.47;0;0.42;0;;0.00;0;0;0.54;0;0.89;0
prob1_100_040_060_035_045_07;6503856;0.00;201;0;0.01;201;433;0;88.46;0;0.40;0;;0.00;0;0;0.48;0;0.85;0
prob1_100_040_060_035_045_08;5478890;0.01;669;0;0.02;439;448;0;80.29;0;0.47;0;;0.01;0;0;0.48;0;0.88;0
prob1_100_040_060_035_045_09;7414701;0.00;201;0;0.01;201;493;0;112.56;0;0.42;0;;0.00;0;0;0.51;0;0.88;0
prob1_100_040_060_035_045_10;6496080;0.00;309;0;0.01;201;455;0;82.32;0;0.38;0;;0.00;0;0;0.49;0;0.80;0
prob1_100_090_110_005_015_01;29270210;0.00;201;0;0.01;201;576;0;335.26;0;0.96;0;;0.00;0;0;0.86;0;1.99;0
prob1_100_090_110_005_015_02;32016960;0.00;201;0;0.01;201;570;0;382.98;0;0.68;0;;0.00;0;0;0.77;0;1.45;0
prob1_100_090_110_005_015_03;29971986;0.00;201;0;0.01;201;618;0;409.56;0;1.19;0;;0.00;0;0;1.00;0;2.46;0
prob1_100_090_110_005_015_04;36959876;0.00;201;0;0.01;201;642;0;429.41;0;1.08;0;;0.01;0;0;0.86;0;2.23;0
prob1_100_090_110_005_015_05;28056280;0.00;201;0;0.01;201;590;0;314.65;0;1.20;0;;0.01;0;0;1.16;0;2.44;0
prob1_100_090_110_005_015_06;32548931;0.00;201;0;0.01;201;544;0;433.39;0;0.96;0;;0.00;0;0;0.89;0;2.02;0
prob1_100_090_110_005_015_07;27770754;0.00;201;0;0.01;201;553;0;335.64;0;1.02;0;;0.01;0;0;0.83;0;2.12;0
prob1_100_090_110_005_015_08;34915619;0.00;201;0;0.01;201;589;0;391.18;0;0.61;0;;0.01;0;0;0.75;0;1.30;0
prob1_100_090_110_005_015_09;33763313;0.00;201;0;0.01;201;557;0;383.10;0;0.65;0;;0.00;0;0;0.76;0;1.39;0
prob1_100_090_110_005_015_10;34003210;0.00;201;0;0.01;201;558;0;432.66;0;1.12;0;;0.01;0;0;0.98;0;2.39;0
prob1_100_090_110_015_025_01;25168881;0.00;205;0;0.01;205;734;0;416.29;0;1.75;0;;0.00;0;0;1.49;0;3.70;0
prob1_100_090_110_015_025_02;24901483;0.00;201;0;0.01;201;616;0;402.20;0;1.68;0;;0.00;0;0;1.34;0;3.51;0
prob1_100_090_110_015_025_03;19631042;0.00;203;0;0.01;203;636;0;333.86;0;1.15;0;;0.00;0;0;1.18;0;2.47;0
prob1_100_090_110_015_025_04;21742675;0.00;201;0;0.01;201;613;0;349.84;0;1.36;0;;0.00;0;0;1.14;0;2.86;0
prob1_100_090_110_015_025_05;20756295;0.01;319;0;0.01;261;629;0;362.64;0;1.38;0;;0.01;0;0;1.52;0;2.94;0
prob1_100_090_110_015_025_06;21053118;0.01;327;0;0.01;201;568;0;355.46;0;1.19;0;;0.01;0;0;1.25;0;2.53;0
prob1_100_090_110_015_025_07;29127882;0.00;201;0;0.01;201;546;0;427.85;0;1.52;0;;0.00;0;0;1.12;0;3.24;0
prob1_100_090_110_015_025_08;22494029;0.00;201;0;0.01;201;703;0;371.04;0;1.40;0;;0.00;0;0;1.44;0;2.96;0
;;Model M1;;;Model M3;;;;DP;;DSS-1TH;;;FMT;;;DSS-4TH;;DSS+DP;
Instance;opt;time;#nodes;TL;time;#nodes;#cols;TL;time;TL;time;TL;;time;best;TL;time;TL;time;TL
prob1_100_090_110_015_025_09;26982698;0.00;223;0;0.01;201;681;0;444.61;0;1.75;0;;0.01;0;0;1.25;0;3.72;0
prob1_100_090_110_015_025_10;19177398;0.00;207;0;0.01;207;647;0;326.49;0;1.19;0;;0.00;0;0;1.31;0;2.51;0
prob1_100_090_110_025_035_01;21300396;0.00;201;0;0.01;201;640;0;452.69;0;1.50;0;;0.00;0;0;1.35;0;3.15;0
prob1_100_090_110_025_035_02;13877675;0.01;325;0;0.02;327;638;0;314.03;0;1.00;0;;0.01;0;0;1.09;0;2.13;0
prob1_100_090_110_025_035_03;19724288;0.01;263;0;0.01;201;627;0;417.30;0;1.06;0;;0.01;0;0;1.00;0;2.21;0
prob1_100_090_110_025_035_04;17794230;0.01;359;0;0.02;281;630;0;384.97;0;0.91;0;;0.01;0;0;1.00;0;1.95;0
prob1_100_090_110_025_035_05;16022979;0.00;201;0;0.01;201;560;0;328.93;0;0.98;0;;0.00;0;0;1.20;0;2.03;0
prob1_100_090_110_025_035_06;16375734;0.01;485;0;0.02;391;583;0;372.64;0;1.10;0;;0.01;0;0;1.21;0;2.36;0
prob1_100_090_110_025_035_07;17934871;0.01;281;0;0.01;201;597;0;356.50;0;0.89;0;;0.01;0;0;1.06;0;1.90;0
prob1_100_090_110_025_035_08;21584669;0.00;201;0;0.01;201;638;0;419.32;0;1.40;0;;0.00;0;0;1.29;0;2.96;0
prob1_100_090_110_025_035_09;21309974;0.01;263;0;0.01;201;625;0;429.45;0;1.19;0;;0.01;0;0;1.34;0;2.52;0
prob1_100_090_110_025_035_10;14037512;0.01;309;0;0.01;201;568;0;312.72;0;0.93;0;;0.01;0;0;0.97;0;2.00;0
prob1_100_090_110_035_045_01;12552502;0.02;553;0;0.02;255;572;0;398.15;0;1.03;0;;0.02;0;0;1.06;0;2.21;0
prob1_100_090_110_035_045_02;10972971;0.01;315;0;0.01;315;567;0;339.10;0;0.93;0;;0.01;0;0;1.16;0;2.00;0
prob1_100_090_110_035_045_03;10618915;0.01;441;0;0.01;201;552;0;317.55;0;0.88;0;;0.01;0;0;0.87;0;1.92;0
prob1_100_090_110_035_045_04;13073034;0.01;315;0;0.02;223;577;0;428.00;0;0.94;0;;0.01;0;0;0.97;0;2.03;0
prob1_100_090_110_035_045_05;12207324;0.01;525;0;0.02;311;555;0;363.00;0;1.08;0;;0.02;0;0;1.12;0;2.34;0
prob1_100_090_110_035_045_06;14231038;0.01;299;0;0.01;207;580;0;436.29;0;0.95;0;;0.01;0;0;1.01;0;2.04;0
prob1_100_090_110_035_045_07;13761634;0.00;201;0;0.01;201;588;0;421.45;0;1.01;0;;0.01;0;0;1.08;0;2.21;0
prob1_100_090_110_035_045_08;14781025;0.02;559;0;0.04;473;672;0;430.09;0;1.13;0;;0.02;0;0;1.17;0;2.40;0
prob1_100_090_110_035_045_09;12979244;0.01;297;0;0.01;201;538;0;413.84;0;0.93;0;;0.01;0;0;0.95;0;1.99;0
prob1_100_090_110_035_045_10;11294615;0.02;571;0;0.02;571;624;0;346.20;0;1.49;0;;0.02;0;0;1.69;0;3.18;0
prob2_050_040_060_005_015_01;5494371;0.00;341;0;0.01;191;301;0;25.29;0;0.28;0;;0.00;0;0;0.34;0;0.58;0
prob2_050_040_060_005_015_02;4454693;0.01;403;0;0.01;307;324;0;21.24;0;0.32;0;;0.01;0;0;0.40;0;0.63;0
prob2_050_040_060_005_015_03;4495439;0.01;575;0;0.02;595;406;0;21.79;0;0.27;0;;0.01;0;0;0.24;0;0.45;0
prob2_050_040_060_005_015_04;5703050;0.00;285;0;0.01;295;354;0;28.09;0;0.26;0;;0.00;0;0;0.28;0;0.53;0
prob2_050_040_060_005_015_05;5705932;0.00;151;0;0.01;151;295;0;27.10;0;0.24;0;;0.00;0;0;0.26;0;0.49;0
prob2_050_040_060_005_015_06;4889092;0.00;155;0;0.00;155;260;0;22.64;0;0.21;0;;0.00;0;0;0.25;0;0.44;0
prob2_050_040_060_005_015_07;4970388;0.01;897;0;0.04;973;306;0;23.13;0;0.43;0;;0.01;0;0;0.53;0;0.89;0
prob2_050_040_060_005_015_08;6023731;0.00;151;0;0.01;153;302;0;26.14;0;0.45;0;;0.00;0;0;0.44;0;0.95;0
prob2_050_040_060_005_015_09;4951384;0.00;191;0;0.01;107;251;0;22.24;0;0.23;0;;0.00;0;0;0.26;0;0.48;0
prob2_050_040_060_005_015_10;4356938;0.01;789;0;0.03;841;408;0;22.25;0;0.43;0;;0.01;0;0;0.44;0;0.77;0
prob2_050_040_060_015_025_01;3455790;0.00;223;0;0.01;223;331;0;20.31;0;0.29;0;;0.00;0;0;0.35;0;0.60;0
prob2_050_040_060_015_025_02;5000745;0.01;827;0;0.03;861;432;0;26.95;0;0.25;0;;0.01;0;0;0.29;0;0.51;0
prob2_050_040_060_015_025_03;4946559;0.01;717;0;0.03;739;461;0;27.39;0;0.33;0;;0.01;0;0;0.37;0;0.68;0
prob2_050_040_060_015_025_04;3738124;0.01;973;0;0.03;1041;413;0;23.01;0;0.39;0;;0.01;0;0;0.49;0;0.82;0
prob2_050_040_060_015_025_05;4885998;0.00;299;0;0.01;307;355;0;27.13;0;0.29;0;;0.00;0;0;0.33;0;0.60;0
prob2_050_040_060_015_025_06;4928644;0.00;101;0;0.00;101;252;0;27.21;0;0.18;0;;0.00;0;0;0.20;0;0.38;0
prob2_050_040_060_015_025_07;3837284;0.00;317;0;0.01;321;354;0;20.79;0;0.25;0;;0.00;0;0;0.28;0;0.54;0
prob2_050_040_060_015_025_08;4304523;0.02;1489;0;0.05;1463;500;0;25.44;0;0.22;0;;0.02;0;0;0.24;0;0.45;0
prob2_050_040_060_015_025_09;4596061;0.00;229;0;0.01;101;284;0;27.84;0;0.31;0;;0.00;0;0;0.25;0;0.47;0
prob2_050_040_060_015_025_10;4765302;0.03;1773;0;0.06;1849;517;0;28.64;0;0.28;0;;0.03;0;0;0.29;0;0.57;0
prob2_050_040_060_025_035_01;3071622;0.00;163;0;0.00;163;266;0;23.20;0;0.21;0;;0.00;0;0;0.19;0;0.36;0
prob2_050_040_060_025_035_02;3009079;0.02;1411;0;0.04;1459;529;0;21.03;0;0.22;0;;0.02;0;0;0.25;0;0.46;0
prob2_050_040_060_025_035_03;2911373;0.00;403;0;0.01;183;325;0;20.53;0;0.22;0;;0.00;0;0;0.25;0;0.45;0
prob2_050_040_060_025_035_04;3332806;0.01;597;0;0.02;607;414;0;25.00;0;0.35;0;;0.01;0;0;0.41;0;0.70;0
;;Model M1;;;Model M3;;;;DP;;DSS-1TH;;;FMT;;;DSS-4TH;;DSS+DP;
Instance;opt;time;#nodes;TL;time;#nodes;#cols;TL;time;TL;time;TL;;time;best;TL;time;TL;time;TL
prob2_050_040_060_025_035_05;3639814;0.01;603;0;0.02;421;336;0;24.57;0;0.35;0;;0.01;0;0;0.41;0;0.73;0
prob2_050_040_060_025_035_06;4195755;0.01;565;0;0.02;607;443;0;27.47;0;0.37;0;;0.01;0;0;0.33;0;0.79;0
prob2_050_040_060_025_035_07;2620699;0.02;1191;0;0.04;1095;425;0;18.24;0;0.25;0;;0.02;0;0;0.29;0;0.51;0
prob2_050_040_060_025_035_08;3369342;0.01;467;0;0.01;481;346;0;25.11;0;0.24;0;;0.01;0;0;0.24;0;0.47;0
